Tunnel cluster ID, Priority, Average throughput, Standard deviation
1, 0.8603268802792893, 0.8603268802792893, 0.0, 
2, 0.7665031203362637, 0.7665031203362637, 0.0, 
3, 0.7568939937713237, 0.7568939937713237, 0.0, 
4, 0.7551546293785448, 0.7551546293785448, 0.0, 
5, 0.7253330608499663, 0.7253330608499663, 0.0, 
6, 0.4558491643810277, 0.4558491643810277, 0.0, 
7, 0.38375974343135083, 0.38375974343135083, 0.0, 
8, 0.37475812931821906, 0.37475812931821906, 0.0, 
9, 0.3736626228127965, 0.3736626228127965, 0.0, 
10, 0.3679331030652484, 0.3679331030652484, 0.0, 
11, 0.332717140923125, 0.332717140923125, 0.0, 
12, 0.32207821392303737, 0.32207821392303737, 0.0, 
13, 0.3129495750406663, 0.3129495750406663, 0.0, 
14, 0.3107262418025174, 0.3107262418025174, 0.0, 
15, 0.27868668566807014, 0.27868668566807014, 0.0, 
16, 0.18745196057645797, 0.18745196057645797, 0.0, 
17, 0.18324325952787252, 0.18324325952787252, 0.0, 
18, 0.18103186329255305, 0.18103186329255305, 0.0, 
19, 0.1776190670411486, 0.1776190670411486, 0.0, 
20, 0.17260883449422823, 0.17260883449422823, 0.0, 
21, 0.16712184747965136, 0.16712184747965136, 0.0, 
22, 0.14413411174052004, 0.14413411174052004, 0.0, 
23, 0.12725196286224544, 0.12725196286224544, 0.0, 
24, 0.10830731988263041, 0.10830731988263041, 0.0, 
25, 0.08898337298046075, 0.08898337298046075, 0.0, 
26, 0.08364616291389196, 0.08364616291389196, 0.0, 
27, 0.08266446231039926, 0.08266446231039926, 0.0, 
28, 0.03827172176749806, 0.03827172176749806, 0.0, 
29, 0.033729991159491816, 0.033729991159491816, 0.0, 
30, 0.03371689752523156, 0.03371689752523156, 0.0, 
31, 0.0327184277860428, 0.0327184277860428, 0.0, 
32, 0.03238954721197846, 0.03238954721197846, 0.0, 
33, 0.03238532211520437, 0.03238532211520437, 0.0, 
34, 0.030663816421840566, 0.030663816421840566, 0.0, 
35, 0.029336820877863608, 0.029336820877863608, 0.0, 
