13	2	0.32610726	35
9	8	0.46290746	36
29	12	0.5117947	37
31	26	0.512498	38
35	4	0.5218847	39
21	10	0.5283842	40
19	17	0.53477013	41
41	18	0.5892955	42
23	11	0.61068344	43
39	14	0.6490104	44
34	33	0.65311235	45
20	6	0.6783609	46
27	28	0.68714726	47
30	15	0.69629997	48
38	25	0.7693099	49
42	32	0.775577	50
16	36	0.7947576	51
43	1	0.8790672	52
51	52	0.94334066	53
46	24	0.9655843	54
47	22	0.9877344	55
53	3	1.0246035	56
55	48	1.0935194	57
40	44	1.2308635	58
50	49	1.2317358	59
56	5	1.2687353	60
57	7	1.4595237	61
58	37	1.6508584	62
54	60	1.9056631	63
45	61	1.9448291	64
62	63	2.3777893	65
59	64	3.3038023	66
66	65	7.6741323	67
