12	1	0.32610726
8	7	0.46290746
28	11	0.5117947
30	25	0.512498
12	3	0.5218847
20	9	0.5283842
18	16	0.53477013
18	17	0.5892955
22	10	0.61068344
12	13	0.6490104
33	32	0.65311235
19	5	0.6783609
26	27	0.68714726
29	14	0.69629997
30	24	0.7693099
18	31	0.775577
15	8	0.7947576
22	0	0.8790672
15	22	0.94334066
19	23	0.9655843
26	21	0.9877344
15	2	1.0246035
26	29	1.0935194
20	12	1.2308635
18	30	1.2317358
15	4	1.2687353
26	6	1.4595237
20	28	1.6508584
19	15	1.9056631
33	26	1.9448291
20	19	2.3777893
18	33	3.3038023
18	20	7.6741323
