Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
2OAR.pdb, 1, 1, 0.922986453151117, 0.08014072156303066, 2.7436276955586485, -, 2.499942654623633, 1.0001541371632237
2OAR.pdb, 2, 2, 0.7723579768006231, 0.25830713591428156, 1.4021052858018859, -, 6.876705202435088, 1.1091602629213417
2OAR.pdb, 3, 3, 0.7403132944796484, 0.3006818114616576, 1.2325852268626099, -, 9.65480494959537, 1.4067204191656602
2OAR.pdb, 4, 4, 0.6901094636519819, 0.370905050999411, 1.353647113204071, -, 11.288262534294343, 1.0762512001123177
2OAR.pdb, 5, 5, 0.6836361349534831, 0.38032946934621076, 1.0502838118156017, -, 8.332718112693808, 1.115631546615442
2OAR.pdb, 6, 6, 0.6608932333297416, 0.41416297512715394, 1.3720313586523183, -, 14.014258842885763, 1.1593098123045709
2OAR.pdb, 7, 7, 0.6208995550103089, 0.4765859572965058, 1.2977805377499756, -, 12.691961184846186, 1.0989783302105596
2OAR.pdb, 8, 8, 0.5856175189667008, 0.5350884005142448, 1.353647113204071, -, 20.651546911133767, 1.423437757075128
2OAR.pdb, 9, 9, 0.5839041199793675, 0.5380184877501337, 0.8790888497881131, -, 7.950011329859337, 1.195674221399476
2OAR.pdb, 10, 10, 0.5216579632307324, 0.6507431487179204, 1.1148491653065173, -, 12.783666652221175, 1.1017070721423985
2OAR.pdb, 11, 11, 0.5031942825673412, 0.6867789358080292, 0.9832184335821208, -, 12.383141354927115, 1.127243794294513
2OAR.pdb, 12, 12, 0.40332420066088537, 0.9080145723053568, 1.2795908073446225, -, 41.08402494317359, 1.6300857733445628
2OAR.pdb, 13, 13, 0.4010879193164456, 0.9135746255416731, 1.0723674037754236, -, 31.72100493968457, 1.475761571209178
2OAR.pdb, 14, 14, 0.3748583249489187, 0.9812071245323946, 1.0723674037754236, -, 46.128900389895946, 1.7777523005116687
2OAR.pdb, 15, 15, 0.3726602442562942, 0.9870881477430214, 1.0133096142117526, -, 41.01462102965988, 1.5271975562089461
2OAR.pdb, 16, 16, 0.3706463035939339, 0.9925070306960762, 0.8738261387393784, -, 20.425765981967775, 1.4131075292030493
2OAR.pdb, 17, 17, 0.37061125260256944, 0.992601602390078, 1.2795908073446225, -, 47.76338721224604, 1.674384462098718
2OAR.pdb, 18, 18, 0.36040951690704154, 1.0205143470842761, 1.0133096142117526, -, 50.47014120038319, 1.6077064373829952
2OAR.pdb, 19, 19, 0.35235932094346584, 1.0431038259093142, 1.0723674037754236, -, 42.72915836180263, 1.347365967385635
2OAR.pdb, 20, 20, 0.34723785296360715, 1.0577452786258799, 0.9832184335821208, -, 30.30875440419012, 1.4871128809996734
2OAR.pdb, 21, 21, 0.3443142161207859, 1.066200619566202, 1.0248564199779944, -, 28.77209589982186, 1.3271715095625296
2OAR.pdb, 22, 22, 0.3410926083653877, 1.0756012597853348, 1.0723674037754236, -, 48.935694302161636, 1.6532370408832309
2OAR.pdb, 23, 23, 0.3401856940392756, 1.0782636515233952, 1.0070965579790108, -, 73.36632365984514, 1.0192342342187075
2OAR.pdb, 24, 24, 0.33042283448408305, 1.1073821280887792, 1.0070965579790108, -, 87.51486683809388, 1.073627007485573
2OAR.pdb, 25, 25, 0.3283723704432783, 1.1136070387944772, 1.0070965579790108, -, 50.665190092591686, 1.6180612259977831
2OAR.pdb, 26, 26, 0.32010603981348895, 1.1391029636635879, 1.0133096142117526, -, 64.90071970287197, 1.6221462571893346
2OAR.pdb, 27, 27, 0.3156530665721771, 1.1531115591129626, 1.2795908073446225, -, 62.6895094785719, 1.7685176130428875
2OAR.pdb, 28, 28, 0.3102157302752999, 1.170487319418063, 1.0723674037754236, -, 59.96586926520282, 1.4560561823244655
2OAR.pdb, 29, 29, 0.3056805448179275, 1.185214693530479, 1.0133096142117526, -, 69.82767564112649, 1.6068507412951498
2OAR.pdb, 30, 30, 0.30391365595807457, 1.1910116443727699, 1.0723674037754236, -, 56.75109292753938, 1.6658583151723183
2OAR.pdb, 31, 31, 0.29879497201163185, 1.2079976531353633, 1.0070965579790108, -, 56.79364420456479, 1.5436334016220385
2OAR.pdb, 32, 32, 0.29612760118831466, 1.216964832452904, 1.0070965579790108, -, 111.99746366994206, 1.3264009653581643
2OAR.pdb, 33, 33, 0.27731135588225886, 1.2826143755859931, 1.0070965579790108, -, 53.59932933642079, 1.4975522871420257
2OAR.pdb, 34, 34, 0.2687303936729299, 1.3140466559766653, 1.0133096142117526, -, 92.0487950479754, 1.779858040645487
2OAR.pdb, 35, 35, 0.26663640956094053, 1.3218693105663357, 0.7546619533781871, -, 29.332463828050034, 1.3349625359101327
2OAR.pdb, 36, 36, 0.26328103724113455, 1.3345332346665173, 0.665642903655268, -, 27.833607001292904, 1.87989224347838
2OAR.pdb, 37, 37, 0.2628600952608573, 1.3361333455268445, 0.8486957357577491, -, 28.90614108990112, 1.3519929339571313
2OAR.pdb, 38, 38, 0.24403728771563762, 1.4104342468577822, 1.0070965579790108, -, 71.91179651404782, 1.5049692103328547
2OAR.pdb, 39, 39, 0.2404657903500987, 1.425177443420473, 1.0070965579790108, -, 76.3962291674194, 1.4655573800533606
2OAR.pdb, 40, 40, 0.2366965082726181, 1.440976514270972, 1.0723674037754236, -, 82.25129892797665, 1.6028890002431186
2OAR.pdb, 41, 41, 0.2297428017382093, 1.4707948490828233, 0.6897884916971369, -, 63.09928964740373, 1.8705364496378523
2OAR.pdb, 42, 42, 0.22725854430050713, 1.4816669479492621, 1.0133096142117526, -, 68.47026915016323, 1.4864000583553245
2OAR.pdb, 43, 43, 0.22618496059840124, 1.486402204697043, 1.0133096142117526, -, 103.9951711074771, 1.8486713395311705
2OAR.pdb, 44, 44, 0.2248035490761437, 1.49252837338196, 1.0070965579790108, -, 57.54778520501765, 1.288260278856693
2OAR.pdb, 45, 45, 0.2242660131730253, 1.494922372909137, 1.0015065842537783, -, 60.40988842389319, 1.3859611065498467
2OAR.pdb, 46, 46, 0.2236676706887148, 1.4975939417674116, 1.0070965579790108, -, 59.719638438759794, 1.5421117147518641
2OAR.pdb, 47, 47, 0.22190707216763525, 1.5054965785841963, 1.0070965579790108, -, 65.05334831490798, 1.5176580038626988
2OAR.pdb, 48, 48, 0.22147638694312882, 1.5074393004025821, 1.2795908073446225, -, 77.22980751397233, 1.7531872935878057
2OAR.pdb, 49, 49, 0.21913707575276922, 1.518057828290469, 0.8077051571748632, -, 27.383172593037212, 1.562281883344685
2OAR.pdb, 50, 50, 0.21020155219363218, 1.5596884362010313, 0.9389318337572274, -, 75.35650000403307, 1.6780486640149428
