Tunnel cluster ID, Priority, Average throughput, Standard deviation
1, 0.5652173711372181, 0.5652173711372181, 0.0, 
2, 0.5298707338771733, 0.5298707338771733, 0.0, 
3, 0.514425880333867, 0.514425880333867, 0.0, 
4, 0.4514426174972054, 0.4514426174972054, 0.0, 
5, 0.4424396730293933, 0.4424396730293933, 0.0, 
6, 0.30354976437464526, 0.30354976437464526, 0.0, 
7, 0.22073203711299852, 0.22073203711299852, 0.0, 
8, 0.15019516266791152, 0.15019516266791152, 0.0, 
9, 0.14355468323479698, 0.14355468323479698, 0.0, 
10, 0.13645110978939548, 0.13645110978939548, 0.0, 
11, 0.09963127026239671, 0.09963127026239671, 0.0, 
12, 0.0871859892100779, 0.0871859892100779, 0.0, 
13, 0.07646982791604565, 0.07646982791604565, 0.0, 
14, 0.06561937391855319, 0.06561937391855319, 0.0, 
15, 0.06431093617884094, 0.06431093617884094, 0.0, 
16, 0.06048575547680869, 0.06048575547680869, 0.0, 
17, 0.05759252595257127, 0.05759252595257127, 0.0, 
18, 0.05261434379709301, 0.05261434379709301, 0.0, 
19, 0.04212845155383997, 0.04212845155383997, 0.0, 
20, 0.040760394486584, 0.040760394486584, 0.0, 
21, 0.03837797739633486, 0.03837797739633486, 0.0, 
22, 0.03438649500300177, 0.03438649500300177, 0.0, 
23, 0.016446869700593347, 0.016446869700593347, 0.0, 
24, 0.010103047448103947, 0.010103047448103947, 0.0, 
25, 0.0035434550122964608, 0.0035434550122964608, 0.0, 
