Tunnel cluster ID, Priority, Average throughput, Standard deviation
1, 0.8064846594179933, 0.8064846594179933, 0.0, 
2, 0.8002824925175481, 0.8002824925175481, 0.0, 
3, 0.4351735361672408, 0.4351735361672408, 0.0, 
4, 0.4103802320840977, 0.4103802320840977, 0.0, 
5, 0.39460813987557675, 0.39460813987557675, 0.0, 
6, 0.35543101168227753, 0.35543101168227753, 0.0, 
7, 0.3415567825372385, 0.3415567825372385, 0.0, 
8, 0.30507897638553716, 0.30507897638553716, 0.0, 
9, 0.2982652812431105, 0.2982652812431105, 0.0, 
10, 0.2480020485771484, 0.2480020485771484, 0.0, 
11, 0.2291416015667473, 0.2291416015667473, 0.0, 
12, 0.21998386088532462, 0.21998386088532462, 0.0, 
13, 0.1964790654636991, 0.1964790654636991, 0.0, 
14, 0.1697238315499349, 0.1697238315499349, 0.0, 
15, 0.15866479845895387, 0.15866479845895387, 0.0, 
16, 0.14867838705443132, 0.14867838705443132, 0.0, 
17, 0.14177122885235816, 0.14177122885235816, 0.0, 
18, 0.1393147303760257, 0.1393147303760257, 0.0, 
19, 0.1326522625410586, 0.1326522625410586, 0.0, 
20, 0.1230592701952613, 0.1230592701952613, 0.0, 
21, 0.11842443646508208, 0.11842443646508208, 0.0, 
22, 0.11434307565971094, 0.11434307565971094, 0.0, 
23, 0.10713593969632032, 0.10713593969632032, 0.0, 
24, 0.10117431794851642, 0.10117431794851642, 0.0, 
25, 0.10094750605850766, 0.10094750605850766, 0.0, 
26, 0.0983928939651507, 0.0983928939651507, 0.0, 
27, 0.08438933639267744, 0.08438933639267744, 0.0, 
28, 0.0839132322604841, 0.0839132322604841, 0.0, 
29, 0.0836770229375733, 0.0836770229375733, 0.0, 
30, 0.08308620301695185, 0.08308620301695185, 0.0, 
31, 0.07849310784111652, 0.07849310784111652, 0.0, 
32, 0.07594030859629279, 0.07594030859629279, 0.0, 
33, 0.07555457811919708, 0.07555457811919708, 0.0, 
34, 0.07282684405674686, 0.07282684405674686, 0.0, 
35, 0.06643503027630758, 0.06643503027630758, 0.0, 
36, 0.06282130357688367, 0.06282130357688367, 0.0, 
37, 0.06014383548639815, 0.06014383548639815, 0.0, 
38, 0.05588818345119018, 0.05588818345119018, 0.0, 
39, 0.0551839297270311, 0.0551839297270311, 0.0, 
40, 0.052249489828892624, 0.052249489828892624, 0.0, 
41, 0.0496750919812026, 0.0496750919812026, 0.0, 
42, 0.04673143556909998, 0.04673143556909998, 0.0, 
43, 0.043105740759545874, 0.043105740759545874, 0.0, 
44, 0.04036445936470667, 0.04036445936470667, 0.0, 
45, 0.03795843047913831, 0.03795843047913831, 0.0, 
46, 0.03245159517121445, 0.03245159517121445, 0.0, 
47, 0.031885335368046615, 0.031885335368046615, 0.0, 
48, 0.02855600016931664, 0.02855600016931664, 0.0, 
49, 0.028442487531939488, 0.028442487531939488, 0.0, 
50, 0.028142643231778855, 0.028142643231778855, 0.0, 
51, 0.02608199310434598, 0.02608199310434598, 0.0, 
52, 0.02311788184491454, 0.02311788184491454, 0.0, 
53, 0.02294809055307079, 0.02294809055307079, 0.0, 
54, 0.018669702766291013, 0.018669702766291013, 0.0, 
55, 0.01719505076117347, 0.01719505076117347, 0.0, 
56, 0.006125231587506164, 0.006125231587506164, 0.0, 
57, 0.0029213742004225445, 0.0029213742004225445, 0.0, 
