Tunnel cluster ID, Priority, Average throughput, Standard deviation
1, 0.37777669616066073, 0.6093172518720334, 0.07983212190741541, 
2, 0.3203322234760188, 0.6160235066846516, 0.06295570062894322, 
3, 0.20088107404253883, 0.502202685106347, 0.07104659699262911, 
4, 0.145069081909901, 0.557958007345773, 0.07653877447327953, 
5, 0.07496504415707118, 0.41647246753928435, 0.06388544238869512, 
6, 0.02671125941381636, 0.44518765689693934, 0.046989304710140054, 
7, 0.025267301544008403, 0.42112169240014, 0.03041354651230105, 
8, 0.009694141396659004, 0.4847070698329502, 0.0, 
9, 0.006695877115996764, 0.33479385579983817, 0.0, 
10, 0.004129811155349889, 0.20649055776749445, 0.0, 
