54	66	0.021271266	99
58	70	0.47447345	100
35	93	0.65217173	101
55	94	0.8761432	102
49	101	1.3366284	103
68	92	1.3402743	104
62	91	1.4778323	105
88	104	1.4873929	106
75	106	1.5888971	107
23	72	1.6520982	108
29	36	1.9264559	109
69	95	1.9352169	110
21	34	1.974501	111
11	52	1.9790481	112
17	20	2.1060984	113
31	50	2.1470673	114
16	38	2.148412	115
4	30	2.1729198	116
67	96	2.2597284	117
98	102	2.3036525	118
28	103	2.3095343	119
24	79	2.3518589	120
46	47	2.4058459	121
84	90	2.4166331	122
10	13	2.4305956	123
48	53	2.4425046	124
85	99	2.477964	125
26	86	2.5204084	126
83	118	2.5714915	127
44	71	2.5898094	128
22	40	2.6115959	129
8	27	2.6330612	130
5	15	2.6393552	131
6	19	2.646161	132
82	110	2.7006264	133
42	64	2.8509135	134
78	107	2.8920865	135
7	131	2.9650042	136
25	111	2.9746184	137
100	135	3.004745	138
1	134	3.0232491	139
14	113	3.056561	140
108	115	3.1284304	141
32	61	3.1339188	142
65	74	3.1393418	143
18	116	3.1822343	144
45	80	3.298531	145
57	63	3.3113694	146
33	123	3.3752112	147
76	127	3.3767414	148
105	138	3.3966353	149
77	121	3.5181437	150
59	129	3.563476	151
9	12	3.8854914	152
87	141	3.9059849	153
125	144	3.9618034	154
2	132	4.0288095	155
97	122	4.209635	156
56	146	4.441513	157
43	109	4.496068	158
114	136	4.513245	159
39	139	4.5213494	160
119	126	4.527717	161
124	143	4.709426	162
147	151	4.7121058	163
51	137	4.8600764	164
145	148	5.120022	165
117	133	5.1826706	166
3	112	5.3001027	167
37	155	5.346756	168
152	157	5.477114	169
41	130	5.5557423	170
149	156	5.641876	171
73	154	5.7880645	172
89	150	5.8892837	173
158	159	5.9325275	174
60	163	6.2398677	175
140	142	6.3157196	176
81	161	6.4944973	177
162	172	6.5063896	178
170	174	6.727772	179
128	173	7.1205635	180
166	177	7.204209	181
164	169	7.4532914	182
153	171	7.463807	183
175	182	8.222387	184
178	183	8.59197	185
165	168	8.718643	186
160	167	8.97861	187
176	180	9.578466	188
179	187	9.808738	189
181	186	10.099935	190
120	184	10.792313	191
188	190	13.042927	192
189	191	14.451247	193
185	193	16.558172	194
192	194	18.009518	195
