Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
1.pdb, 1, 1, 0.506891916345032, 0.6794574808690429, 1.0175823126324894, -, 16.472029391658733, 1.3495124417646782
2.pdb, 1, 1, 0.5606546387229536, 0.5786501802791825, 1.1391447787099478, -, 15.610422309113083, 1.2311425094723383
2.pdb, 1, 2, 0.5488043835631613, 0.6000132150601584, 1.1391447787099478, -, 15.647490052107134, 1.3873097012644586
3.pdb, 1, 1, 0.4853205622600236, 0.7229456532645121, 1.0000214898101147, -, 15.084746035495634, 1.2900751754859832
3.pdb, 1, 2, 0.4805104817987472, 0.7329062364522851, 0.9852603609485755, -, 15.605002724631635, 1.3562000825484137
3.pdb, 1, 4, 0.40573458532231055, 0.9020560638887382, 0.9380554376804502, -, 15.65231229404833, 1.2864369376183393
4.pdb, 1, 1, 0.6505515970820588, 0.42993466506362843, 1.4133005877814198, -, 13.80949184799388, 1.19703438202048
4.pdb, 1, 2, 0.4999145532567306, 0.6933180886504399, 1.0080591063449826, -, 15.723318274020588, 1.5183056163774629
4.pdb, 1, 4, 0.43535959775621497, 0.8315829278813494, 1.0806327761730785, -, 19.260237712885058, 1.518673348935416
5.pdb, 1, 1, 0.498668575657042, 0.6958135809338964, 1.0066696759120755, -, 14.177971134879584, 1.2036280344375923
5.pdb, 1, 2, 0.4381118463110573, 0.8252810443291483, 1.0554082588592137, -, 15.996704717397261, 1.2770434604819016
5.pdb, 1, 3, 0.3542794126140063, 1.0376693760132079, 0.9015188479906817, -, 14.626447812693458, 1.3601428724194011
6.pdb, 1, 1, 0.6709463680193162, 0.39906607364109353, 1.6901136713650466, -, 14.242397212673868, 1.2855947383860726
6.pdb, 1, 2, 0.5879036855265595, 0.5311921446251145, 1.382019019933897, -, 15.253178550781982, 1.2225063967703187
7.pdb, 1, 1, 0.6249304479784616, 0.47011491867263544, 1.4180373311214962, -, 13.120086271728182, 1.2490067264260802
8.pdb, 1, 1, 0.6084051373665729, 0.4969142745718794, 1.2117374165859276, -, 13.200762807339009, 1.1897602518146309
8.pdb, 1, 2, 0.5398256047980504, 0.6165091456624003, 1.2117374165859276, -, 17.594639370732747, 1.3171065023904711
9.pdb, 1, 1, 0.6076096636307939, 0.4982226037938525, 1.2283487797543715, -, 14.989822124484517, 1.4680742812007912
10.pdb, 1, 2, 0.4121034013905126, 0.886480986872562, 0.909521375716815, -, 16.503421593145944, 1.3460498754201946
11.pdb, 1, 1, 0.644417499033205, 0.43940847250301207, 1.4042753343243601, -, 13.044395859390738, 1.1972814474828506
12.pdb, 1, 1, 0.6031080131925758, 0.5056589719403147, 1.363448459901966, -, 12.670254904101533, 1.2359406325418827
12.pdb, 1, 2, 0.49993562579554596, 0.6932759372576413, 1.0854857112998142, -, 14.523514778077955, 1.1827667417652352
12.pdb, 1, 4, 0.43719688121630185, 0.8273716562452206, 1.0759480305376716, -, 16.037975850466417, 1.4013186871759766
