17	88	0.3097152	146
11	74	0.31072888	147
65	91	0.35469994	148
10	62	0.37096578	149
26	63	0.3969104	150
6	20	0.40732354	151
19	82	0.42311633	152
93	105	0.42626557	153
36	149	0.42919266	154
41	45	0.43053803	155
29	146	0.43672067	156
16	58	0.44133052	157
35	51	0.44165006	158
39	64	0.4417732	159
50	57	0.4442773	160
77	98	0.4491412	161
2	97	0.4497868	162
30	34	0.45361248	163
43	70	0.4577842	164
61	84	0.4628355	165
85	114	0.46603596	166
106	110	0.4715236	167
53	117	0.48072118	168
87	133	0.48140505	169
72	76	0.49010634	170
3	27	0.49151263	171
141	142	0.5061985	172
161	165	0.51827484	173
78	103	0.5296927	174
13	31	0.53411704	175
107	167	0.53664494	176
14	157	0.54351974	177
22	68	0.5441668	178
37	156	0.5443371	179
15	104	0.5549728	180
150	158	0.5568373	181
159	166	0.5665641	182
46	49	0.57353526	183
42	151	0.5780159	184
25	66	0.5833308	185
75	139	0.5905535	186
120	173	0.5946885	187
55	155	0.5953945	188
118	181	0.5984522	189
115	138	0.59936446	190
28	59	0.61578643	191
96	134	0.61899364	192
154	170	0.61947685	193
69	179	0.62216973	194
164	168	0.62434703	195
147	163	0.62648153	196
79	180	0.6271827	197
178	189	0.6278504	198
126	136	0.6288132	199
7	12	0.6306336	200
109	177	0.63155454	201
44	185	0.63839525	202
153	193	0.638993	203
4	184	0.65091056	204
101	203	0.6554995	205
80	123	0.6558256	206
40	197	0.67135024	207
160	198	0.68730795	208
8	194	0.6912676	209
113	172	0.6998167	210
112	130	0.70038635	211
128	129	0.70258844	212
56	201	0.71355045	213
5	171	0.7136561	214
152	200	0.715748	215
99	183	0.7197529	216
73	174	0.72220737	217
47	213	0.73371327	218
121	131	0.73442584	219
71	195	0.73906	220
18	202	0.74726534	221
67	208	0.7481061	222
124	175	0.7542074	223
32	188	0.7563482	224
52	205	0.7656529	225
21	209	0.7845407	226
190	219	0.78583515	227
176	186	0.7891585	228
54	60	0.7919827	229
192	212	0.7968165	230
144	210	0.79722375	231
187	225	0.80282795	232
48	196	0.80454576	233
94	226	0.8112896	234
100	135	0.8146988	235
125	199	0.8208859	236
24	90	0.8401897	237
215	224	0.85136294	238
204	233	0.8567629	239
182	216	0.8580453	240
89	119	0.8605626	241
206	217	0.86318	242
92	169	0.8717336	243
218	234	0.89735264	244
222	238	0.90346944	245
1	214	0.9078517	246
81	231	0.9190163	247
207	221	0.9288788	248
9	220	0.9499334	249
33	237	0.97906554	250
116	127	0.99673754	251
239	244	0.9991088	252
191	243	1.0029097	253
148	162	1.0037735	254
242	246	1.0128031	255
140	227	1.0266705	256
122	230	1.0397074	257
235	247	1.0460746	258
245	255	1.0665367	259
223	240	1.1119978	260
143	232	1.1287283	261
228	236	1.1557958	262
86	252	1.1601791	263
248	259	1.1824583	264
132	258	1.1873156	265
257	261	1.2250361	266
83	251	1.2375352	267
23	260	1.2516538	268
241	265	1.2896717	269
111	211	1.2946861	270
253	263	1.3331363	271
38	264	1.3380419	272
256	262	1.3865134	273
254	272	1.4070013	274
102	249	1.4543096	275
229	268	1.5045995	276
250	271	1.6375817	277
266	269	1.7104068	278
108	274	1.7361345	279
275	277	1.7946812	280
279	280	2.0497067	281
267	276	2.157018	282
95	281	2.5790856	283
282	283	2.7783234	284
273	278	3.3245249	285
270	284	4.6432824	286
137	145	6.837327	287
285	286	7.6259875	288
287	288	12.942416	289
