            ID: Identification of a given tunnel cluster = ranking of a given cluster 
                based on the Priority.
            No: Total number of tunnels belonging to a given cluster.
      No_snaps: Nubmer of snapshots with at least one tunnel 
                with a radius >= probe_radius (see config.txt).
        Avg_BR: Average bottleneck radius [A].
        Max_BR: Maximimum bottleneck radius [A].
         Avg_L: Average tunnel length [A].
         Avg_C: Average tunnel curvature.
      Priority: Tunnel priority calculated by averaging tunnel
                throughputs over all snapshots (zero value used for 
                snapshots without tunnel).
Avg_throughput: Average tunnel throughput.
   Avg_up_E_BR: Average upper error bound of bottleneck radius estimation.
   Avg_up_E_TR: Average upper error bound of tunnel profile radii estimation.
   Max_up_E_BR: Maximal upper errors bound of bottleneck radii estimation.
   Max_up_E_TR: Maximal upper error bound of tunnel radii estimation.
            SD: Standard deviation [A].
All averaged values are calculated over snapshots, where a given cluster has at least one tunnel. The only exception is the Priority, where the average is calculated over all snapshots.
If there are more tunnels in one snapshot, the cheapest tunnel is chosen. 



  ID      No   No_snaps   Avg_BR       SD   Max_BR    Avg_L      SD   Avg_C      SD    Priority  Avg_throughput       SD   Avg_up_E_BR      SD   Max_up_E_BR  Avg_up_E_TR   Max_up_E_TR
  44       1          1    1.639    0.000     1.64  109.964   0.000   1.442   0.000     0.44878         0.44878  0.00000             -       -             -            -             -
  45       1          1    2.204    0.000     2.20  133.331   0.000   1.404   0.000     0.44527         0.44527  0.00000             -       -             -            -             -
  46       1          1    2.411    0.000     2.41  178.300   0.000   1.219   0.000     0.44188         0.44188  0.00000             -       -             -            -             -
  47       1          1    2.361    0.000     2.36  172.318   0.000   1.395   0.000     0.44001         0.44001  0.00000             -       -             -            -             -
  48       1          1    2.539    0.000     2.54  146.913   0.000   1.319   0.000     0.43038         0.43038  0.00000             -       -             -            -             -
  49       1          1    1.432    0.000     1.43   68.574   0.000   1.328   0.000     0.42744         0.42744  0.00000             -       -             -            -             -
  50       1          1    2.073    0.000     2.07  111.250   0.000   1.401   0.000     0.42574         0.42574  0.00000             -       -             -            -             -
  51       1          1    2.539    0.000     2.54  149.889   0.000   1.279   0.000     0.42410         0.42410  0.00000             -       -             -            -             -
  52       1          1    2.337    0.000     2.34  141.884   0.000   1.701   0.000     0.42128         0.42128  0.00000             -       -             -            -             -
  53       1          1    1.012    0.000     1.01   61.571   0.000   1.252   0.000     0.41762         0.41762  0.00000             -       -             -            -             -
  54       1          1    0.758    0.000     0.76   17.662   0.000   1.290   0.000     0.41409         0.41409  0.00000             -       -             -            -             -
  55       1          1    2.204    0.000     2.20  143.610   0.000   1.424   0.000     0.41395         0.41395  0.00000             -       -             -            -             -
  56       1          1    0.765    0.000     0.76   60.757   0.000   1.305   0.000     0.40943         0.40943  0.00000             -       -             -            -             -
  57       1          1    1.853    0.000     1.85  128.457   0.000   1.337   0.000     0.40926         0.40926  0.00000             -       -             -            -             -
  58       1          1    1.980    0.000     1.98  133.049   0.000   1.503   0.000     0.40745         0.40745  0.00000             -       -             -            -             -
  59       1          1    1.928    0.000     1.93   93.192   0.000   1.461   0.000     0.40068         0.40068  0.00000             -       -             -            -             -
  60       1          1    0.692    0.000     0.69   58.195   0.000   1.341   0.000     0.39970         0.39970  0.00000             -       -             -            -             -
  61       1          1    1.550    0.000     1.55  172.244   0.000   1.233   0.000     0.39755         0.39755  0.00000             -       -             -            -             -
  62       1          1    1.853    0.000     1.85  136.312   0.000   1.322   0.000     0.39436         0.39436  0.00000             -       -             -            -             -
  63       1          1    1.423    0.000     1.42  183.572   0.000   1.290   0.000     0.39302         0.39302  0.00000             -       -             -            -             -
  64       1          1    1.329    0.000     1.33  131.388   0.000   1.355   0.000     0.39226         0.39226  0.00000             -       -             -            -             -
  65       1          1    1.012    0.000     1.01   65.515   0.000   1.207   0.000     0.39036         0.39036  0.00000             -       -             -            -             -
  66       1          1    2.124    0.000     2.12  133.903   0.000   1.832   0.000     0.38965         0.38965  0.00000             -       -             -            -             -
  67       1          1    0.668    0.000     0.67   14.592   0.000   1.272   0.000     0.38416         0.38416  0.00000             -       -             -            -             -
  68       1          1    1.435    0.000     1.43  131.888   0.000   1.292   0.000     0.38141         0.38141  0.00000             -       -             -            -             -
  69       1          1    1.329    0.000     1.33  138.285   0.000   1.334   0.000     0.38026         0.38026  0.00000             -       -             -            -             -
  70       1          1    1.884    0.000     1.88  151.241   0.000   1.401   0.000     0.37776         0.37776  0.00000             -       -             -            -             -
  71       1          1    2.204    0.000     2.20  153.501   0.000   1.435   0.000     0.37155         0.37155  0.00000             -       -             -            -             -
  72       1          1    1.461    0.000     1.46  129.585   0.000   1.889   0.000     0.37039         0.37039  0.00000             -       -             -            -             -
  73       1          1    1.012    0.000     1.01   70.358   0.000   1.201   0.000     0.36658         0.36658  0.00000             -       -             -            -             -
  74       1          1    1.435    0.000     1.43  132.260   0.000   1.347   0.000     0.36324         0.36324  0.00000             -       -             -            -             -
  75       1          1    1.011    0.000     1.01   64.985   0.000   1.414   0.000     0.36207         0.36207  0.00000             -       -             -            -             -
  76       1          1    0.905    0.000     0.91   67.188   0.000   1.315   0.000     0.35896         0.35896  0.00000             -       -             -            -             -
  77       1          1    1.195    0.000     1.19   66.763   0.000   1.360   0.000     0.35856         0.35856  0.00000             -       -             -            -             -
  78       1          1    1.580    0.000     1.58  123.190   0.000   1.356   0.000     0.35738         0.35738  0.00000             -       -             -            -             -
  79       1          1    1.884    0.000     1.88  153.872   0.000   1.280   0.000     0.35565         0.35565  0.00000             -       -             -            -             -
  80       1          1    1.609    0.000     1.61  157.602   0.000   1.349   0.000     0.35535         0.35535  0.00000             -       -             -            -             -
  81       1          1    0.716    0.000     0.72   53.631   0.000   3.774   0.000     0.34844         0.34844  0.00000             -       -             -            -             -
  82       1          1    0.960    0.000     0.96   78.949   0.000   1.565   0.000     0.34622         0.34622  0.00000             -       -             -            -             -
  83       1          1    1.435    0.000     1.43  145.198   0.000   1.303   0.000     0.34561         0.34561  0.00000             -       -             -            -             -
  84       1          1    0.701    0.000     0.70   59.790   0.000   1.386   0.000     0.34330         0.34330  0.00000             -       -             -            -             -
  85       1          1    1.884    0.000     1.88  158.860   0.000   1.268   0.000     0.34124         0.34124  0.00000             -       -             -            -             -
  86       1          1    1.831    0.000     1.83  123.549   0.000   1.488   0.000     0.33999         0.33999  0.00000             -       -             -            -             -
  87       1          1    2.042    0.000     2.04  125.578   0.000   1.958   0.000     0.33972         0.33972  0.00000             -       -             -            -             -
  88       1          1    1.435    0.000     1.43  150.709   0.000   1.305   0.000     0.33637         0.33637  0.00000             -       -             -            -             -
  89       1          1    1.534    0.000     1.53  170.809   0.000   1.287   0.000     0.33518         0.33518  0.00000             -       -             -            -             -
  90       1          1    1.329    0.000     1.33  147.626   0.000   1.358   0.000     0.32044         0.32044  0.00000             -       -             -            -             -
  91       1          1    0.785    0.000     0.79   22.650   0.000   1.804   0.000     0.31808         0.31808  0.00000             -       -             -            -             -
  92       1          1    1.551    0.000     1.55  151.227   0.000   1.376   0.000     0.31180         0.31180  0.00000             -       -             -            -             -
  93       1          1    1.176    0.000     1.18   97.012   0.000   1.543   0.000     0.30018         0.30018  0.00000             -       -             -            -             -
  94       1          1    0.905    0.000     0.91   72.994   0.000   1.257   0.000     0.29927         0.29927  0.00000             -       -             -            -             -
  95       1          1    1.831    0.000     1.83  134.514   0.000   2.618   0.000     0.29587         0.29587  0.00000             -       -             -            -             -
  96       1          1    1.601    0.000     1.60  167.311   0.000   1.404   0.000     0.29568         0.29568  0.00000             -       -             -            -             -
  97       1          1    1.130    0.000     1.13   72.132   0.000   1.333   0.000     0.29096         0.29096  0.00000             -       -             -            -             -
  98       1          1    0.847    0.000     0.85   87.424   0.000   1.603   0.000     0.28970         0.28970  0.00000             -       -             -            -             -
  99       1          1    0.600    0.000     0.60   30.388   0.000   1.615   0.000     0.28912         0.28912  0.00000             -       -             -            -             -
 100       1          1    1.419    0.000     1.42  142.064   0.000   1.597   0.000     0.28678         0.28678  0.00000             -       -             -            -             -
 101       1          1    1.042    0.000     1.04  196.974   0.000   1.605   0.000     0.27843         0.27843  0.00000             -       -             -            -             -
 102       1          1    0.960    0.000     0.96   90.283   0.000   1.584   0.000     0.27791         0.27791  0.00000             -       -             -            -             -
 103       1          1    0.663    0.000     0.66   55.310   0.000   1.479   0.000     0.27542         0.27542  0.00000             -       -             -            -             -
 104       1          1    1.531    0.000     1.53  165.971   0.000   1.341   0.000     0.26311         0.26311  0.00000             -       -             -            -             -
 105       1          1    1.215    0.000     1.21  150.912   0.000   1.326   0.000     0.26080         0.26080  0.00000             -       -             -            -             -
 106       1          1    0.753    0.000     0.75   86.027   0.000   1.583   0.000     0.25684         0.25684  0.00000             -       -             -            -             -
 107       1          1    1.066    0.000     1.07  161.330   0.000   1.404   0.000     0.24601         0.24601  0.00000             -       -             -            -             -
 108       1          1    1.012    0.000     1.01   88.162   0.000   1.242   0.000     0.24204         0.24204  0.00000             -       -             -            -             -
 109       1          1    0.792    0.000     0.79   74.954   0.000   1.396   0.000     0.24107         0.24107  0.00000             -       -             -            -             -
 110       1          1    0.713    0.000     0.71  138.986   0.000   1.370   0.000     0.22544         0.22544  0.00000             -       -             -            -             -
 111       1          1    0.866    0.000     0.87  139.200   0.000   1.665   0.000     0.22009         0.22009  0.00000             -       -             -            -             -
 112       1          1    0.951    0.000     0.95  163.570   0.000   1.473   0.000     0.21295         0.21295  0.00000             -       -             -            -             -
 113       1          1    0.913    0.000     0.91  134.185   0.000   1.553   0.000     0.20237         0.20237  0.00000             -       -             -            -             -
 114       1          1    0.608    0.000     0.61  176.615   0.000   1.191   0.000     0.18355         0.18355  0.00000             -       -             -            -             -
 115       1          1    0.751    0.000     0.75  199.735   0.000   1.677   0.000     0.17791         0.17791  0.00000             -       -             -            -             -
 116       1          1    0.636    0.000     0.64   62.732   0.000   1.525   0.000     0.11631         0.11631  0.00000             -       -             -            -             -
 117       1          1    0.835    0.000     0.84  162.190   0.000   1.671   0.000     0.11175         0.11175  0.00000             -       -             -            -             -
 118       1          1    0.630    0.000     0.63  157.322   0.000   1.308   0.000     0.10210         0.10210  0.00000             -       -             -            -             -
 119       1          1    0.736    0.000     0.74  146.701   0.000   1.609   0.000     0.09029         0.09029  0.00000             -       -             -            -             -



-----------------------------------------------------------------------
 Thank you for using CAVER, please cite:

 Chovancova, E., Pavelka, A., Benes, P., Strnad, O., Brezovsky, J.,
 Kozlikova, B., Gora, A., Sustr, V., Klvana, M., Medek, P.,
 Biedermannova, L., Sochor, J. Damborsky, J. (2012) CAVER 3.0: A Tool
 for the Analysis of Transport Pathways in Dynamic Protein Structures.
 PLoS Comput Biol 8: e1002708. doi:10.1371/journal.pcbi.1002708
-----------------------------------------------------------------------
