4	9	0.17950085	40
7	8	1.1516833	41
20	35	2.3684406	42
10	22	2.3769157	43
23	29	2.4634106	44
11	40	2.4727757	45
5	12	2.613871	46
3	17	2.816154	47
19	21	2.8983665	48
2	6	3.1248293	49
25	33	3.2116203	50
1	13	3.261798	51
18	47	3.3659484	52
24	36	3.3663344	53
14	28	3.5651233	54
30	32	3.6314356	55
45	49	3.7484188	56
26	27	4.0640826	57
37	38	4.1295815	58
16	46	4.585867	59
44	50	4.622053	60
15	56	4.7645426	61
43	53	5.3029957	62
52	59	5.853027	63
34	48	6.1281576	64
54	57	7.0251646	65
42	55	7.3347397	66
51	62	7.517618	67
31	61	7.6669097	68
58	63	8.823699	69
41	65	9.268046	70
66	69	9.768928	71
67	68	9.990909	72
39	70	10.245267	73
60	64	13.97176	74
72	73	14.420668	75
71	74	15.306744	76
75	76	19.308004	77
